Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
16/06/2008,D4T4 SOLUTIONS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,82.63
30/06/2016,DALATA HOTEL GROUP PLC,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET ,Yes,834.1
28/02/2023,DAR GLOBAL PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,553.26
30/04/2021,DARKTRACE PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,832"
21/03/1997,DATANG INTERNATIONAL POWER GENERATION COMPANY LD,Utilities,Utilities,China,Asia,MAIN MARKET ,Yes,"1,569.04"
29/01/2016,DAVICTUS PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,0.27
19/05/1994,DCC PLC,Industrials,Industrial Goods and Services,Ireland,Europe,MAIN MARKET ,Yes,"4,658.89"
21/09/2000,DECHRA PHARMACEUTICALS PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"3,017.01"
05/04/2017,DEEPVERGE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,11.03
18/03/2013,DEKEL AGRI-VISION PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Cyprus,Europe,AIM ,Yes,14.24
27/03/1947,DE LA RUE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,101.04
31/03/2021,DELIVEROO PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,607.49"
08/11/2001,DELTEX MEDICAL GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,8.04
11/05/2012,DELTIC ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,30.72
13/08/1984,DERWENT LONDON PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"2,647.81"
04/09/2017,DESTINY PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,26.21
24/01/2017,DEVELOP NORTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,23.15
04/11/2021,"DEVOLVER DIGITAL, INC.",Consumer Discretionary,Consumer Products and Services,United States,North America,AIM ,Yes,144.42
30/06/1993,DEVRO PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,549.23
22/02/2006,DEWHURST GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,66.45
14/05/1990,DFI RETAIL GROUP HOLDINGS LIMITED,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",Bermuda,North America,MAIN MARKET ,Yes,"20,078.41"
11/03/2015,DFS FURNITURE PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,318.9
30/03/2017,DG INNOVATE PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,7.6
21/03/2019,DIACEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,86.16
01/04/1952,DIAGEO PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"81,510.50"
09/11/1993,DIALIGHT PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,65.89
30/11/2022,DIAL SQUARE INVESTMENTS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.86
24/05/2021,DIANOMI PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,23.27
31/03/2021,DIGITAL 9 INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,528.62
30/04/2003,DIGITALBOX PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,9.29
08/04/2004,DIGNITY PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,265.7
15/06/2006,DILLISTONE GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,3.84
12/06/1960,DIPLOMA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"3,766.37"
27/05/2016,DIRECTA PLUS PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,50.2
16/10/2012,DIRECT LINE INSURANCE GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"1,803.16"
28/03/1994,DISCOVERIE GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,742.91
13/04/2018,DISH TV INDIA LIMITED,Consumer Discretionary,Media,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
20/01/2004,DISTIL PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,3.25
09/05/2019,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,66.37
28/04/2011,DIVERSE INCOME TRUST (THE) PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,313.17
03/02/2017,DIVERSIFIED ENERGY COMPANY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,877.11
08/12/2005,DOLPHIN CAPITAL INVESTORS LIMITED,Real Estate,Real Estate ,British Virgin Islands,North America,AIM ,Yes,34.83
19/05/2008,DOMINO'S PIZZA GROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"1,203.35"
02/07/2013,DORIC NIMROD AIR THREE LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,111.1
14/07/2011,DORIC NIMROD AIR TWO LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,175.34
29/03/2011,DOTDIGITAL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,284.52
10/12/2020,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,200.26
09/05/2017,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,30.74
04/10/2013,DP AIRCRAFT I LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,9.68
28/06/2017,DP EURASIA N.V.,Consumer Discretionary,Travel and Leisure,Netherlands,Europe,MAIN MARKET ,Yes,60
28/07/2010,DP POLAND PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,60.55
15/12/2005,DRAX GROUP PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,"2,436.62"
13/10/2005,DRIVER GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,15.38
29/01/2021,DR. MARTENS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,424.10"
02/06/1997,DRUMZ PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,2.83
16/12/2021,DSW CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,15.79
29/03/2017,DUKEMOUNT CAPITAL PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,0.92
09/07/2012,DUKE ROYALTY LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,132.57
01/04/1987,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,30.96
21/11/1949,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,426.26
24/10/2006,DUNELM GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,"2,228.36"
11/03/2019,DWF GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,229.13
27/02/2014,DX (GROUP) PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,179.95
16/04/2014,EAGLE EYE SOLUTIONS GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,166.58
03/05/2019,EAST IMPERIAL PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,5.5
04/05/2021,EAST STAR RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,5.56
22/11/2000,EASYJET PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"3,929.52"
05/05/2000,EBIQUITY PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,60.98
21/09/1995,ECCLESIASTICAL INSURANCE OFFICE PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,140.51
12/12/2005,ECHO ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,3.61
27/06/2003,ECKOH PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,103.23
26/09/1995,ECO ANIMAL HEALTH GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,65.35
08/02/2017,ECO (ATLANTIC) OIL & GAS LTD,Energy,Energy,Canada,North America,AIM ,Yes,69.79
26/09/2016,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,243.63
22/12/2020,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,88.03
30/12/1996,ECORA RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,304.84
20/01/2006,ECR MINERALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,7.01
14/12/2016,ECSC GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,5
11/05/2012,EDEN RESEARCH PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,12.85
21/02/2005,EDENVILLE ENERGY PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,1.3
08/02/1952,EDINBURGH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,092.15"
10/07/1998,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,604.38
28/10/2014,EDISTON PROPERTY INVESTMENT COMPANY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,129.76
02/04/2015,EDITA FOOD INDUSTRIES S.A.E.,Consumer Staples ,"Food, Beverage and Tobacco ",Egypt,Middle East,MAIN MARKET ,Yes,-
04/04/2005,EENERGY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,17.61
04/08/1998,EFG-HERMES HOLDING S.A.E.,Financials,Financial Services ,Egypt,Middle East,MAIN MARKET ,Yes,-
17/01/2008,EGDON RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,13.06
07/04/2017,EJF INVESTMENTS LTD,,,Jersey,Europe,MAIN MARKET ,No,71.54
07/07/2010,EKF DIAGNOSTICS HOLDINGS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,141.03
22/03/2006,ELECO PUBLIC LIMITED COMPANY,Technology,Technology,United Kingdom,Europe,AIM ,No,64.36
11/01/2022,ELECTRIC GUITAR PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.22
01/04/1964,ELEMENTIS PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,695.58
09/07/2020,ELIXIRR INTERNATIONAL PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,226.31
29/03/2010,EMIS GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,949.67
15/02/2017,EMMERSON PLC,Basic Materials,Basic Resources,Isle of Man,Europe,AIM ,No,41.09
17/12/2010,EMPIRE METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,12.31
30/06/2014,EMPIRIC STUDENT PROPERTY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,544.83
03/11/2004,EMPRESARIA GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,31.88
27/07/2005,EMPYREAN ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,8.26
14/06/2021,ENDEAVOUR MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"4,945.63"
22/11/2021,ENERAQUA TECHNOLOGIES PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,99
16/03/2018,ENERGEAN PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,"2,329.77"
12/03/2018,ENGAGE XR HOLDINGS PLC,Technology,Technology,Ireland,Europe,AIM ,Yes,17.06
08/11/2017,EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,-
06/04/2010,ENQUEST PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,349.27
24/05/2022,ENSILICA PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,56.24
20/03/2013,ENTAIN PLC,Consumer Discretionary,Travel and Leisure,Isle of Man,Europe,MAIN MARKET ,No,"7,398.91"
18/05/2012,ENTEQ TECHNOLOGIES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,7.67
27/09/2002,ENWELL ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,65.01
21/09/2018,EPE SPECIAL OPPORTUNITIES LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET / AIM ,Yes,49.69
24/07/2014,EPWIN GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,104.34
20/10/2008,EQTEC PLC,Energy,Energy,Ireland,Europe,AIM ,Yes,21.61
05/08/2014,EQUALS GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,164.22
15/07/2014,ERGOMED PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,515.1
20/09/2007,ESKEN LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,54.45
29/05/2019,ESSENSYS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,36.38
06/06/2005,ESSENTRA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,583.03
20/04/2011,ETALON GROUP PLC,Real Estate,Real Estate ,Cyprus,Europe,MAIN MARKET ,Yes,-
28/11/2007,E-THERAPEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,83.54
29/06/2017,ETHERNITY NETWORKS LTD,Telecommunications,Telecommunications,Israel,Middle East,AIM ,Yes,6.87
02/10/1996,EURASIA MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,105.77
09/03/2015,EUROCELL PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,152.45
15/12/2010,EUROPA METALS LTD,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,2.97
11/11/2004,EUROPA OIL & GAS (HOLDINGS) PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,11.03
18/03/2019,EUROPEAN ASSETS TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,333.42
10/12/2015,EUROPEAN METALS HOLDINGS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,63.49
20/11/2000,EUROPEAN OPPORTUNITIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,758.95
22/07/2015,EVEREST GLOBAL PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.22
07/11/2013,EVERYMAN MEDIA GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,60.63
21/10/2015,EVGEN PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,10.17
08/06/2005,EVRAZ PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"1,179.93"
11/10/2006,EXPERIAN PLC,Industrials,Industrial Goods and Services,Jersey,Europe,MAIN MARKET ,No,"24,449.47"
30/06/1999,EZZ STEEL COMPANY - S.A.E.,Basic Materials,Basic Resources,Egypt,Middle East,MAIN MARKET ,Yes,-
05/01/2022,FACILITIES BY ADF PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,46.85
12/06/2014,FAIR OAKS INCOME LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,25.17
20/06/2013,FALANX CYBER SECURITY LIMITED,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,1.92
28/03/2013,FALCON OIL & GAS LTD.,Energy,Energy,Canada,North America,AIM ,Yes,96.08
12/07/2017,FANDANGO HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.6
17/11/2015,FARON PHARMACEUTICALS OY,Health Care ,Health Care  ,Finland,Europe,AIM ,Yes,193.67
04/05/1995,FBD HOLDINGS PLC,Financials,Insurance,Ireland,Europe,MAIN MARKET ,Yes,443.25
21/03/1952,F&C INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"4,717.55"
20/06/2014,FDM GROUP (HOLDINGS) PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,791.64
28/03/2002,FD TECHNOLOGIES PUBLIC LIMITED COMPANY,Technology,Technology,United Kingdom,Europe,AIM ,No,479.91
31/01/2006,FEDERAL BANK LIMITED (THE),Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
31/12/2003,FEEDBACK PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,20.54
23/11/2010,FERGUSON PLC,Industrials,Industrial Goods and Services,Jersey,Europe,MAIN MARKET ,No,"21,881.17"
20/06/2007,FERREXPO PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,704.61
28/03/2019,FERRO-ALLOY RESOURCES LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,MAIN MARKET ,No,43.4
07/11/2014,FEVERTREE DRINKS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,"1,496.68"
13/06/1996,FIDELITY ASIAN VALUES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,363.46
19/04/2010,FIDELITY CHINA SPECIAL SITUATIONS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,208.61"
06/07/1989,FIDELITY EMERGING MARKETS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,536.21
06/11/1991,FIDELITY EUROPEAN TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,377.42"
15/03/1994,FIDELITY JAPAN TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,225.08
17/11/1994,FIDELITY SPECIAL VALUES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,883.17
13/01/2003,FIH GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,33.68
12/12/2003,FIINU PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,37.66
24/10/1994,FILTRONIC PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,25.55
08/04/2022,FINANCIALS ACQUISITION CORP,Financials,Financial Services ,Cayman Islands,North America,MAIN MARKET ,Yes,159.91
05/12/2018,FINNCAP GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,21.05
23/02/2007,FINSBURY FOOD GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,124.52
25/03/1953,FINSBURY GROWTH & INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,873.12"
15/09/2022,FINTECH ASIA LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,9.88
04/04/2018,FINTEL PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,202.07
30/04/2014,FIREANGEL SAFETY TECHNOLOGY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,18.33
12/11/2021,FIRERING STRATEGIC MINERALS PLC,Basic Materials,Basic Resources,Cyprus,Europe,AIM ,Yes,6.28
29/07/2022,FIRST CLASS METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,8.75
16/06/1995,FIRSTGROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,746.84
22/12/2000,FIRST PROPERTY GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,26.28
08/04/2022,FIRST TIN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,18.19
31/12/1996,FISHER (JAMES) & SONS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,146.15
12/08/1999,FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY,,,United Kingdom,Europe,MAIN MARKET ,No,-
30/03/2000,FISKE PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,7.99
05/03/2021,FIX PRICE GROUP PLC,Consumer Discretionary,Retail ,Cyprus,Europe,MAIN MARKET ,Yes,-
14/10/2008,FLETCHER KING PLC,Real Estate,Real Estate ,United Kingdom,Europe,AIM ,No,3.84
21/05/2014,FLOWTECH FLUIDPOWER PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,63.8
07/12/2000,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET ,Yes,"25,770.82"
11/12/2014,FOCUSRITE PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,358.23
29/04/2015,FONDUL PROPRIETATEA S.A.,Financials,Financial Services ,Romania,Europe,MAIN MARKET ,Yes,-
12/10/2020,FONIX MOBILE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,195.5
16/03/1998,FORESIGHT ENTERPRISE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,130.22
04/02/2021,FORESIGHT GROUP HOLDINGS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,458.11
29/10/2013,FORESIGHT SOLAR FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,675.83
02/11/2010,FORESIGHT SOLAR & TECHNOLOGY VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.49
19/11/2021,FORESIGHT SUSTAINABLE FORESTRY COMPANY PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,185.82
17/11/1997,FORESIGHT VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,175.84
21/04/2016,FORTERRA PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,422.63
19/07/2021,FORWARD PARTNERS GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,49.13
31/08/2012,FOX MARBLE HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,0
25/09/2013,FOXTONS GROUP PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,122.05
05/09/2016,FRAGRANT PROSPERITY HOLDINGS LIMITED,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,0.32
05/08/2016,FRANCHISE BRANDS PLC,Utilities,Utilities,United Kingdom,Europe,AIM ,No,319.26
02/03/2007,FRASERS GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,"3,654.74"
28/07/2004,FRENKEL TOPPING GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,84.75
14/05/2008,FRESNILLO PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"5,497.23"
15/07/2013,FRONTIER DEVELOPMENTS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,184.9
31/01/2011,FRONTIER IP GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,37.29
06/03/2020,FRP ADVISORY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,269.35
14/02/2023,FULCRUM METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,8.85
24/12/2009,FULCRUM UTILITY SERVICES LD,Utilities,Utilities,Cayman Islands,North America,AIM ,Yes,4.19
27/08/1996,"FULLER, SMITH & TURNER PLC",Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,180.92
28/09/2018,FUNDING CIRCLE HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,193.66
18/12/2017,FUSION ANTIBODIES PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,10.02
22/07/2003,FUTURA MEDICAL PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,129.37
21/10/2021,FUTURE METALS NL,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,13.22
25/06/1999,FUTURE PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,"1,400.74"
17/08/2006,G3 EXPLORATION LIMITED,Energy,Energy,Cayman Islands,North America,MAIN MARKET ,Yes,43.86
19/07/2017,GABELLI MERGER PLUS+ TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,49.87
15/11/1999,GAIL (INDIA) LD,Energy,Energy,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
31/03/2006,GALANTAS GOLD CORPORATION,Basic Materials,Basic Resources,Canada,North America,AIM ,Yes,21.36
28/09/2011,GALILEO RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,11.61
03/01/2020,GALLIFORD TRY HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,185.41
06/01/2015,GAMA AVIATION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,41.26
06/10/1994,GAMES WORKSHOP GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"3,172.85"
01/08/2013,GAMING REALMS PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,75.34
10/10/2014,GAMMA COMMUNICATIONS PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,"1,046.05"
08/06/2015,GATELEY (HOLDINGS) PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,224.08
27/10/2006,GATTACA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,26
27/08/2010,GB GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,757.25
19/04/2004,GCM RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,5.56
23/10/2015,GCP ASSET BACKED INCOME FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,295.2
22/07/2010,GCP INFRASTRUCTURE INVESTMENTS LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,752.95
03/06/2015,GEAR4MUSIC (HOLDINGS) PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,18.04
