Market,Date,Month,Year,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (Â£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650,Market_new,0,1,2,3
AIM,2021-03-02,2021-03-01,2021,VINO,VIRGIN WINES UK PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,197.0,GBX,120.61,Liberum Capital Limited,13.03,34.93,47.96,216.0,236.6499938964844,200.0,228.0,432966.0,224.5,225.0,236.0,217.5,136.0,52.0,,,0,0.0,1.0,0.0,0.0
UK Main Market,2021-02-26,2021-02-01,2021,ATG,AUCTION TECHNOLOGY GROUP PLC,New Company Placing,United Kingdom,10101020.0,Software and Computer Services,Consumer Digital Services ,600.0,GBX,817.9,No Advisor,247.44,25.34,272.78,735.0,839.0,734.6329956054688,800.0,11007679.0,782.0,801.2000122070312,983.0,1490.0,906.0,692.0,,,3,0.0,0.0,0.0,1.0
UK Main Market,2021-02-26,2021-02-01,2021,CBX,CELLULAR GOODS PLC,New Company Placing,United Kingdom,20103020.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Marijuana Producers,5.0,GBX,100.95,No Advisor,13.0,0,13,20.0,30.0,9.0,19.0,186950996.0,11.0,9.5,6.420000076293945,6.749000072479248,4.465000152587891,0.7749999761581421,,,3,0.0,0.0,0.0,1.0
AIM,2021-02-16,2021-02-01,2021,CUSN,CORNISH METALS INC.,New Company Placing,Canada,55102000.0,Industrial Metals and Mining,General Mining,7.0,GBX,26.05,SP Angel Corporate Finance LLP,8.21,0,8.21,9.75,13.0,8.550000190734863,10.0,27019244.0,10.0,8.625,14.899999618530272,14.25,23.25,15.84000015258789,,,0,0.0,0.0,0.0,1.0
UK Main Market,2021-02-16,2021-02-01,2021,CORD,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,New Company Placing,Guernsey,0.0,Not Identified,Not Identified,100.0,GBX,373.7,No Advisor,370.0,0,370,101.0,101.0,99.0,94.26087188720705,2219721.0,94.92736053466795,94.7369384765625,97.59332275390624,107.1146240234375,100.8794937133789,92.8000030517578,,,3,0.0,0.0,0.0,1.0
International Main Market,2021-02-09,2021-02-01,2021,MXC,MGC PHARMACEUTICALS LIMITED,New Company Placing,Australia,55103025.0,Precious Metals and Mining,Gold Mining,1.48,GBX,46.8,No Advisor,6.5,0,6.5,2.1,237.5,200.0,237.5,49215881.0,4.519999980926514,3.884999990463257,3.3499999046325684,2.2249999046325684,1.524999976158142,0.6000000238418579,,,1,1.0,0.0,0.0,0.0
UK Main Market,2021-02-09,2021-02-01,2021,FSG,FORESIGHT GROUP HOLDINGS LIMITED,New Company Placing,Guernsey,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,420.0,GBX,487.55,No Advisor,35.0,191.99,226.99,440.0,470.0,420.0,438.0476989746094,2069996.0,419.04974365234375,390.433837890625,393.2906494140625,361.8655090332031,373.0142211914063,460.0,,,3,1.0,0.0,0.0,0.0
UK Main Market,2021-02-05,2021-02-01,2021,MOON,MOONPIG GROUP PLC,New Company Placing,United Kingdom,40401030.0,Retailers ,Specialty Retailers ,350.0,GBX,1488.19,No Advisor,20.0,471.25,491.25,440.0,450.0910034179688,355.0,410.0,41421937.0,423.0,440.0,433.0,385.7999877929688,319.3999938964844,125.0,,,3,0.0,0.0,0.0,1.0
UK Main Market,2021-02-03,2021-02-01,2021,DOCS,DR. MARTENS PLC,New Company Placing,United Kingdom,40204025.0,Personal Goods,Footwear,370.0,GBX,4540,No Advisor,0.0,1295,1295,425.0,467.1629943847656,414.2999877929688,438.0625915527344,67083488.0,459.4790344238281,477.0015563964844,440.9830627441406,443.9034729003906,295.0295715332031,154.89999389648438,,,3,1.0,0.0,0.0,0.0
UK Main Market,2021-02-02,2021-02-01,2021,GSEO,VH GLOBAL SUSTAINABLE ENERGY OPPORTUNITIES PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,100.0,GBX,249.9,No Advisor,242.62,0,242.62,103.0,103.0,100.0,95.1751480102539,517810.0,96.11748504638672,96.11748504638672,95.1751480102539,93.29049682617188,103.01670837402344,97.60875701904295,,,3,0.0,0.0,0.0,1.0
AIM,2021-02-01,2021-02-01,2021,SUP,SUPREME PLC,New Company Placing,United Kingdom,45201030.0,"Personal Care, Drug and Grocery Stores ",Nondurable Household Products,134.0,GBX,166.59,Grant Thornton UK LLP,7.5,0,7.5,143.0,155.31199645996094,140.0,141.33914184570312,3043426.0,17337.599609375,179.02955627441406,190.33670043945312,188.45217895507807,188.0907440185547,108.0,,,0,0.0,0.0,0.0,1.0
AIM,2021-01-13,2021-01-01,2021,NGHT,NIGHTCAP PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,10.0,GBX,14.2,Allenby Capital Limited,4.0,0,4,10.5,14.425000190734863,10.899999618530272,14.0,536833.0,13.5,29.0,32.0,22.0,19.5,8.0,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-12-30,2020-12-01,2020,WCAT,WILDCAT PETROLEUM PLC,Offer for Subscription - New Company,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.1,GBX,0,No Advisor,0.6,0,0.6,0.1749999970197677,0.449999988079071,0.2000000029802322,0.375,10579380.0,0.7749999761581421,0.699999988079071,2.900000095367432,2.900000095367432,1.7599999904632568,1.2999999523162842,,,3,0.0,0.0,0.0,1.0
AIM,2020-12-29,2020-12-01,2020,VCAP,VECTOR CAPITAL PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,38.0,GBX,16.61,Allenby Capital Limited,3.06,0,3.06,39.5,41.95000076293945,38.5,35.74283218383789,62112.0,36.19527816772461,35.2903938293457,38.9099235534668,45.22006607055664,41.38592147827149,42.0,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-12-24,2020-12-01,2020,PNPL,PINEAPPLE POWER CORPORATION PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,3.0,GBX,1.86,No Advisor,1.32,0,1.32,4.875,6.150000095367432,4.815999984741211,5.800000190734863,9063700.0,5.599999904632568,11.501999855041504,6.75,7.375,8.600000381469727,3.375,,,3,1.0,0.0,0.0,0.0
UK Main Market,2020-12-23,2020-12-01,2020,OHG,ONE HERITAGE GROUP PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,10.0,GBX,3.3,No Advisor,0.93,0,0.93,11.0,11.0,11.0,11.0,0.0,11.75,29.5,29.5,97.5,47.0,0.1299999952316284,,,3,1.0,0.0,0.0,0.0
UK Main Market,2020-12-22,2020-12-01,2020,RNEW,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,New Company Placing,United Kingdom,60102020.0,Alternative Energy,Renewable Energy Equipment ,1.0,USD,94.07,No Advisor,92.82,0,92.82,1.0,1.0299999713897705,1.003000020980835,0.940826654434204,166771.0,0.940826654434204,0.95473051071167,0.947778582572937,0.9378854036331176,0.9240804314613342,0.8205223083496094,,,3,0.0,0.0,0.0,1.0
UK Main Market,2020-12-22,2020-12-01,2020,SBSI,SCHRODER BSC SOCIAL IMPACT TRUST PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,100.0,GBX,76.13,No Advisor,75.0,0,75,101.5,104.0,100.0,100.56228637695312,40472.0,100.56228637695312,101.54338073730467,101.54338073730467,101.54338073730467,104.0787582397461,92.5,,,3,0.0,0.0,0.0,1.0
UK Main Market,2020-12-17,2020-12-01,2020,BYIT,BYTES TECHNOLOGY GROUP PLC,New Company Placing,United Kingdom,10101010.0,Software and Computer Services,Computer Services,270.0,GBX,835.31,No Advisor,646.6,0,646.6,310.0,338.70001220703125,272.0,324.2131652832031,15023677.0,350.38458251953125,330.07244873046875,378.1185302734375,478.7027282714844,557.6231689453125,397.6000061035156,,,3,0.0,1.0,0.0,0.0
AIM,2020-12-15,2020-12-01,2020,ABDX,ABINGDON HEALTH PLC,New Company Placing,United Kingdom,20102020.0,Medical Equipment and Services,Medical Services,96.0,GBX,96.66,Nplus1 Singer Advisory LLP,22.0,0,22,100.69979858398438,109.60320281982422,102.19529724121094,105.1864013671875,321154.0,97.21019744873048,94.21910095214844,99.70269775390624,55.334999084472656,29.25,4.25,,,0,1.0,0.0,0.0,0.0
AIM,2020-12-14,2020-12-01,2020,IIG,INTUITIVE INVESTMENTS GROUP PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,20.0,GBX,8.59,Strand Hanson Limited,7.85,0,7.85,21.25,23.0,21.700000762939453,22.75,984670.0,23.25,22.25,21.5,23.299999237060547,19.799999237060547,6.25,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-12-14,2020-12-01,2020,TGR,TIRUPATI GRAPHITE PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,45.0,GBX,36.26,No Advisor,6.0,0,6,48.5,56.650001525878906,45.0,50.5,467663.0,74.0,82.0,103.5,123.0,72.5,34.25,,,3,1.0,0.0,0.0,0.0
UK Main Market,2020-12-10,2020-12-01,2020,DORE,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,Offer for Subscription - New Company,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,124.34,No Advisor,122.5,0,122.5,101.5,102.1999969482422,97.0,92.84851837158205,979909.0,91.46271514892578,91.92463684082033,90.53884887695312,87.76725006103516,97.73223114013672,114.07758331298828,,,3,0.0,0.0,0.0,1.0
International Main Market,2020-12-07,2020-12-01,2020,CRE,CONDUIT HOLDINGS LIMITED,New Company Placing,Bermuda,30302020.0,Non-life Insurance,Reinsurance,500.0,GBX,836.11,No Advisor,820.65,0,820.65,530.0,534.9000244140625,500.0,427.3065185546875,1365439.0,427.976806640625,421.8185729980469,451.6043701171875,427.3065185546875,363.5008239746094,376.306884765625,,,1,1.0,0.0,0.0,0.0
AIM,2020-12-04,2020-12-01,2020,HE1,HELIUM ONE GLOBAL LTD,New Company Placing,British Virgin Islands,60101010.0,"Oil, Gas and Coal",Oil: Crude Producers,2.84,GBX,29.19,Beaumont Cornish Limited,6.0,0,6,5.875,5.699999809265137,3.75,4.25,24086878.0,6.5,8.220000267028809,7.300000190734863,21.299999237060547,7.25,8.449999809265137,,,0,0.0,1.0,0.0,0.0
UK Main Market,2020-12-01,2020-12-01,2020,SBO,SCHRODER BRITISH OPPORTUNITIES TRUST PLC,New Company Placing,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,76.5,No Advisor,75.0,0,75,102.30999755859376,102.30999755859376,102.30999755859376,102.30999755859376,0.0,100.94000244140624,101.63999938964844,101.5,101.5,101.3000030517578,107.25,,,3,1.0,0.0,0.0,0.0
AIM,2020-11-25,2020-11-01,2020,KIST,KISTOS PLC,New Company Placing,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,43.27,Panmure Gordon (UK) Limited,31.75,0,31.75,107.5,114.0,100.0,107.5,3046613.0,124.5,148.0,158.5,179.5,377.0,435.0,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-11-13,2020-11-01,2020,RHM,ROUND HILL MUSIC ROYALTY FUND LIMITED,New Company Placing,Guernsey,30204000.0,Closed End Investments,Closed End Investments,1.0,USD,216.83,No Advisor,214.84,0,214.84,1.0099999904632568,1.0199999809265137,1.0,0.9226214289665222,2864907.0,0.9362561702728271,0.9271663427352904,0.9544358253479004,0.9521636366844176,0.9923506379127502,0.7496194243431091,,,3,0.0,0.0,0.0,1.0
AIM,2020-11-03,2020-11-01,2020,VRCI,VERICI DX PLC,New Company Placing,United Kingdom,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,20.0,GBX,38.98,Nplus1 Singer Advisory LLP,14.5,0,14.5,27.5,38.5,29.96999931335449,36.5,3646518.0,51.0,50.5,79.5,68.0,73.5,14.0,,,0,0.0,1.0,0.0,0.0
International Main Market,2020-10-26,2020-10-01,2020,AMOI,ANEMOI INTERNATIONAL LTD,New Company Placing,British Virgin Islands,0.0,Not Identified,Not Identified,0.04,USD,0.98,No Advisor,0.93,0,0.93,3.25,3.25,2.0,3.5,91986.0,3.25,2.5,3.0,7.0,4.050000190734863,1.5,,,1,0.0,0.0,0.0,1.0
International Main Market,2020-10-22,2020-10-01,2020,SDIC,"SDIC POWER HOLDINGS CO., LTD",International Offering (GDR),China,65101015.0,Electricity,Conventional Electricity,12.27,USD,0,No Advisor,155.35,0,155.35,12.399999618530272,12.399999618530272,11.699999809265137,12.050000190734863,92823.0,12.149999618530272,12.949999809265137,13.0,14.800000190734863,17.0,15.399999618530272,,,1,1.0,0.0,0.0,0.0
AIM,2020-10-12,2020-10-01,2020,FNX,FONIX MOBILE PLC,New Company Placing,United Kingdom,50205015.0,Industrial Support Services,Transaction Processing Services,90.0,GBX,92.5,finnCap Ltd,0.0,45,45,92.5,95.5,85.0,83.326607,487623.0,89.311386,94.375443,121.997513,166.274261,151.370148,157.716248,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-10-12,2020-10-01,2020,HOME,HOME REIT PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,100.0,GBX,241.77,No Advisor,240.57,0,240.57,100.5,102.0,99.807999,91.143723,892734.0,91.143723,93.331177,98.890938,105.160324,100.226997,82.20443,,,3,0.0,0.0,0.0,1.0
AIM,2020-10-05,2020-10-01,2020,CLX,CALNEX SOLUTIONS PLC,New Company Placing,United Kingdom,15101010.0,Telecommunications Equipment,Telecommunications Equipment,48.0,GBX,44.19,Cenkos Securities Plc,6.0,16.5,22.5,50.5,54.0,48.0,50.613865,2236502.0,55.079792,56.568436,125.542236,116.114159,113.136871,147.22702,,,0,1.0,0.0,0.0,0.0
UK Main Market,2020-10-05,2020-10-01,2020,MODE,MODE GLOBAL HOLDINGS PLC,New Company Placing,United Kingdom,30202000.0,Investment Banking and Brokerage Services ,Diversified Financial Services ,50.0,GBX,42.28,No Advisor,7.5,0,7.5,52.5,51.0,48.0,51.0,241601.0,48.5,42.5,43.0,52.0,43.5,3.85,,,3,0.0,0.0,0.0,1.0
UK Main Market,2020-10-02,2020-10-01,2020,GILD,GUILD ESPORTS PLC,New Company Placing,United Kingdom,40501030.0,Travel and Leisure,Recreational Services,8.0,GBX,46.32,No Advisor,20.0,0,20,9.0,10.0,7.2,8.15,9591024.0,7.725,5.9,5.6,5.7,4.8,2.15,,,3,1.0,0.0,0.0,0.0
International Main Market,2020-09-30,2020-09-01,2020,CYPC,"CHINA YANGTZE POWER CO., LTD",International Offering (GDR),China,65101010.0,Electricity,Alternative Electricity,26.46,USD,0,No Advisor,1551.91,0,1551.91,26.459999,26.465,26.0,23.405727,2439570.0,23.405727,23.765818,24.170914,28.672018,29.888481,32.400002,,,1,0.0,0.0,0.0,1.0
AIM,2020-09-25,2020-09-01,2020,VARE,VARIOUS EATERIES PLC,New Company Placing,United Kingdom,40501040.0,Travel and Leisure,Restaurants and Bars,73.0,GBX,65.42,W.H. Ireland Limited,25.0,0,25,73.5,74.0,66.0,69.5,492695.0,69.0,66.0,68.5,89.5,83.5,38.0,,,0,1.0,0.0,0.0,0.0
UK Main Market,2020-09-21,2020-09-01,2020,THG,THG HOLDINGS PLC,New Company Placing,United Kingdom,50203000.0,General Industrials,Diversified Industrials,500.0,GBX,5823.88,No Advisor,920.0,961.37,1881.37,600.0,658.2999877929688,600.0,625.0,74576399.0,609.0,597.0,661.0,653.5,638.5,40.0,,,3,0.0,0.0,0.0,1.0
AIM,2020-09-02,2020-09-01,2020,KOO,KOOTH PLC,New Company Placing,United Kingdom,20101025.0,Health Care Providers,Health Care Services,200.0,GBX,74.38,Panmure Gordon (UK) Limited,16.0,10,26,225.0,244.5,227.0,240.0,1022156.0,240.0,239.0,240.0,280.5,377.0,127.5,,,0,1.0,0.0,0.0,0.0
International Main Market,2020-08-04,2020-08-01,2020,CCZ,CASTILLO COPPER LIMITED,New Company Placing,Australia,55103025.0,Precious Metals and Mining,Gold Mining,1.7,GBX,20.45,No Advisor,1.34,0,1.34,2.025000095367432,2.4800000190734863,1.75,2.299999952316284,23726309.0,2.5,2.450000047683716,2.700000047683716,3.799999952316284,2.025000095367432,0.824999988079071,,,1,1.0,0.0,0.0,0.0
AIM,2020-07-09,2020-07-01,2020,ELIX,ELIXIRR INTERNATIONAL PLC,New Company Placing,United Kingdom,50205020.0,Industrial Support Services,Professional Business Support Services,217.0,GBX,100.34,finnCap Ltd,20.0,5,25,222.0,227.0,206.0,211.7221221923828,140283.0,192.9243621826172,195.39776611328125,227.55181884765625,332.42352294921875,558.9860229492188,605.8660888671875,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-06-05,2020-06-01,2020,PUAL,PUMA ALPHA VCT PLC,Offer for Subscription - New Company,United Kingdom,0.0,Not Identified,Not Identified,100.0,GBX,5.89,No Advisor,5.89,0,5.89,0.982699990272522,0.982699990272522,0.982699990272522,0.982699990272522,0.0,0.982699990272522,0.982699990272522,0.982699990272522,100.0,100.0,105.0,,,3,0.0,0.0,0.0,1.0
UK Main Market,2020-04-09,2020-04-01,2020,BFSP,BLACKFINCH SPRING VCT PLC,Offer for Subscription - New Company,United Kingdom,0.0,Not Identified,Not Identified,100.0,GBX,3.42,No Advisor,3.42,0,3.42,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,88.0,88.5,,,3,0.0,0.0,0.0,1.0
UK Main Market,2020-03-23,2020-03-01,2020,SYME,ABAL GROUP PLC,New Company Placing,United Kingdom,10101015.0,Software and Computer Services,Software,0.68,GBX,278.42,No Advisor,2.24,0,2.24,0.8500000238418579,0.25,0.25,1.100000023841858,50000.0,1.100000023841858,0.3549999892711639,0.1459999978542328,0.4799999892711639,0.5600000023841858,0.0879999995231628,,,3,1.0,0.0,0.0,0.0
AIM,2020-03-06,2020-03-01,2020,FRP,FRP ADVISORY GROUP PLC,New Company Placing,United Kingdom,50205020.0,Industrial Support Services,Professional Business Support Services,80.0,GBX,194.75,Cenkos Securities Plc,20.0,60,80,82.0,83.16600036621094,78.0,73.66964721679688,1088484.0,69.0653076171875,75.5113754272461,111.42534637451172,105.43968200683594,100.1490249633789,111.70960235595705,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-03-06,2020-03-01,2020,MMM,"MINING, MINERALS & METALS PLC",New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,3.0,GBX,1.12,No Advisor,0.52,0,0.52,3.5,3.5,3.5,3.5,0.0,3.5,3.5,3.5,4.0,8.25,0.0390000008046627,,,3,0.0,0.0,0.0,1.0
AIM,2020-02-27,2020-02-01,2020,SPEC,INSPECS GROUP PLC,New Company Placing,United Kingdom,40204020.0,Personal Goods,Clothing and Accessories,195.0,GBX,139.72,Peel Hunt LLP,23.5,70.53,94.03,197.5,199.0,190.0,193.72381591796875,413052.0,193.72381591796875,158.952880859375,183.7892608642578,238.42930603027344,322.8730163574219,372.5458068847656,,,0,0.0,0.0,0.0,1.0
UK Main Market,2020-02-21,2020-02-01,2020,NAVF,NIPPON ACTIVE VALUE FUND PLC,New Company Placing,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,105.58,No Advisor,103.0,0,103,102.5,104.0,100.04000091552734,99.6140594482422,199110.0,98.1491470336914,96.19593048095705,96.68423461914062,92.28949737548828,109.38014221191406,125.4367218017578,,,3,1.0,0.0,0.0,0.0
UK Main Market,2020-01-09,2020-01-01,2020,PALM,PANTHER METALS PLC,New Company Placing,Isle of Man,55103025.0,Precious Metals and Mining,Gold Mining,6.0,GBX,6.58,No Advisor,0.82,0,0.82,13.5,9.0,6.775000095367432,6.5,20749.0,4.349999904632568,3.0999999046325684,2.200000047683716,6.75,16.25,12.5,,,3,0.0,0.0,0.0,1.0
AIM,2019-12-12,2019-12-01,2019,MJH,MJ HUDSON GROUP PLC,New Company Placing,Jersey,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,57.0,GBX,101.93,Cenkos Securities Plc,29.28,2.08,31.36,59.5,60.5,57.0,58.828086853027344,420333.0,58.828086853027344,58.32954406738281,53.14469528198242,41.37907791137695,46.36450958251953,44.07121276855469,,,0,0.0,0.0,0.0,1.0
UK Main Market,2019-12-10,2019-12-01,2019,ORIT,OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC,New Company Placing,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,361.76,No Advisor,350.0,0,350,103.36000061035156,107.0,103.0,94.51753997802734,2168009.0,93.36705780029295,95.93353271484376,92.57054901123048,93.8095474243164,98.29899597167967,102.0903549194336,,,3,0.0,0.0,0.0,1.0
AIM,2019-12-05,2019-12-01,2019,PEBB,THE PEBBLE GROUP PLC,New Company Placing,United Kingdom,40301020.0,Media,Media Agencies,105.0,GBX,196.75,Grant Thornton UK LLP,79.21,56.23,135.43,117.5,123.0,118.5,122.9800033569336,1194656.0,124.0,137.5,148.5,97.5,109.5,147.5,,,0,1.0,0.0,0.0,0.0
AIM,2019-11-28,2019-11-01,2019,LBE,LONGBOAT ENERGY PLC,New Company Placing,United Kingdom,60101010.0,"Oil, Gas and Coal",Oil: Crude Producers,100.0,GBX,10.25,Stifel Nicolaus Europe Limited,9.5,0,9.5,102.5,105.8000030517578,99.0,99.5,1190465.0,98.5,94.0,93.5,69.0,90.0,65.0,,,0,0.0,0.0,0.0,1.0
UK Main Market,2019-11-04,2019-11-01,2019,ZAIM,ZAIM CREDIT SYSTEMS PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,2.5,GBX,13.11,No Advisor,2.6,0,2.6,3.400000095367432,3.5999999046325684,3.3550000190734863,3.4049999713897705,1294748.0,3.4749999046325684,3.450000047683716,2.740000009536743,2.430000066757202,2.5299999713897705,4.199999809265137,,,3,1.0,0.0,0.0,0.0
UK Main Market,2019-10-30,2019-10-01,2019,RTW,RTW VENTURE FUND LIMITED,New Company Placing,Guernsey,30202000.0,Investment Banking and Brokerage Services ,Diversified Financial Services ,1.04,USD,134.49,No Advisor,11.67,0,11.67,1.0397000312805176,1.0397000312805176,1.0397000312805176,1.0397000312805176,0.0,1.0750000476837158,1.1649999618530271,1.4450000524520874,1.315000057220459,1.559999942779541,1.870000004768372,,,3,1.0,0.0,0.0,0.0
UK Main Market,2019-10-18,2019-10-01,2019,HTWS,HELIOS TOWERS PLC,New Company Placing,United Kingdom,15102015.0,Telecommunications Service Providers ,Telecommunications Services,115.0,GBX,1180,No Advisor,99.34,150.66,250,117.0199966430664,126.9800033569336,1.149999976158142,121.5,20746834.0,122.6999969482422,120.0,152.0,131.0,152.0,160.0,,,3,0.0,0.0,0.0,1.0
UK Main Market,2019-09-24,2019-09-01,2019,JARA,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED,New Company Placing,Guernsey,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,151.95,No Advisor,148.97,0,148.97,102.0,104.8499984741211,100.0199966430664,88.7514877319336,2776753.0,90.25708770751952,94.91478729248048,90.248291015625,66.51734161376953,95.37911987304688,82.45294189453125,,,3,0.0,0.0,0.0,1.0
UK Main Market,2019-09-19,2019-09-01,2019,NWOR,NATIONAL WORLD PLC,New Company Placing,United Kingdom,10101020.0,Software and Computer Services,Consumer Digital Services ,10.0,GBX,5.81,No Advisor,5.0,0,5,10.75,10.84000015258789,10.779999732971191,10.875,50922.0,11.0,11.0,11.0,11.0,11.0,38.59999847412109,,,3,0.0,0.0,0.0,1.0
AIM,2019-08-29,2019-08-01,2019,BRCK,BRICKABILITY GROUP PLC,New Company Placing,United Kingdom,50101035.0,Construction and Materials ,Building Materials: Other,65.0,GBX,154.41,Cenkos Securities Plc,56.73,0,56.73,67.0,70.0,65.0,60.747840881347656,1178028.0,60.747840881347656,58.51446533203125,58.06779861450195,63.83564758300781,41.37997817993164,98.34525299072266,,,0,0.0,0.0,0.0,1.0
UK Main Market,2019-07-29,2019-07-01,2019,MUST,MUSTANG ENERGY PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,10.0,GBX,0.92,No Advisor,0.75,0,0.75,11.0,10.0,10.0,11.0,300000.0,11.0,11.0,11.0,11.0,0.1099999994039535,0.3059999942779541,,,3,0.0,0.0,0.0,1.0
UK Main Market,2019-07-26,2019-07-01,2019,BSFA,BSF ENTERPRISE PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5.0,GBX,1.02,No Advisor,0.77,0,0.77,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0549999997019767,0.0549999997019767,,,3,1.0,0.0,0.0,0.0
UK Main Market,2019-07-23,2019-07-01,2019,MNRG,METALNRG PLC,New Company Placing,United Kingdom,30202000.0,Investment Banking and Brokerage Services ,Diversified Financial Services ,0.3,GBX,1.1,No Advisor,0.28,0,0.28,0.3700000047683716,0.3700000047683716,0.3000000119209289,0.324999988079071,472800.0,0.3000000119209289,0.2249999940395355,0.2800000011920929,0.5049999952316284,0.4749999940395355,0.4749999940395355,,,3,0.0,0.0,0.0,1.0
AIM,2019-07-17,2019-07-01,2019,UPR,UNIPHAR PLC,New Company Placing,Ireland,45201015.0,"Personal Care, Drug and Grocery Stores ",Drug Retailers,1.15,EUR,298.86,Davy Corporate Finance,121.11,1.14,122.25,125.0,125.0,118.0,115.8711395263672,1213667.0,114.6436996459961,111.9433135986328,114.39820861816406,121.7628936767578,175.1842498779297,288.97271728515625,,,0,0.0,0.0,0.0,1.0
UK Main Market,2019-07-03,2019-07-01,2019,AAF,AIRTEL AFRICA PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,90.0,GBX,2743.45,No Advisor,608.77,0,608.77,77.0,77.0,67.0,56.60962677001953,64367704.0,60.45039367675781,58.02902603149414,41.16304016113281,67.14854431152344,53.02118682861328,74.16007995605469,,,3,1.0,0.0,0.0,0.0
UK Main Market,2019-06-26,2019-06-01,2019,TRN,TRAINLINE PLC,New Company Placing,United Kingdom,5759.0,Travel & Leisure,Travel & Tourism,350.0,GBX,1994.82,No Advisor,110.34,983.07,1093.41,400.0,436.5,400.0,411.0,76079774.0,410.0,410.0,470.0,520.0,511.0,287.79998779296875,,,3,1.0,0.0,0.0,0.0
AIM,2019-06-25,2019-06-01,2019,AGFX,ARGENTEX GROUP PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,106.0,GBX,142.64,Numis Securities Limited,14.0,0,14,126.0,136.0,126.0,125.8075714111328,7169624.0,130.85049438476562,126.4982452392578,136.47998046875,157.0584259033203,137.18959045410156,115.8637237548828,,,0,1.0,0.0,0.0,0.0
International Main Market,2019-06-20,2019-06-01,2019,HTSC,"HUATAI SECURITIES CO., LTD.",International Offering (GDR),China,0.0,Not Identified,Not Identified,20.5,USD,1605.81,No Advisor,1337.83,0,1337.83,24.5,24.600000381469727,23.899999618530277,23.19979858398437,1399661.0,23.19979858398437,24.34528923034668,24.263124465942383,26.48643684387207,25.08478355407715,24.16645812988281,,,1,0.0,0.0,0.0,1.0
